sid,betas,condition,run
sub-01,5fc7d0b16ebcc6012846a11d,5fc7d09daa60b8012e892a8d,5fc7d09f4269db01281c29c4
sub-04,5fc7d0b6aa60b8012e892ac3,5fc7d09d6ebcc6012846a0a5,5fc7d09f4269db01291c29e2
sub-05,5fc7d0b84269db01291c2a44,5fc7d0a0aa60b8012e892a96,5fc7d0a16ebcc6012846a0be
sub-06,5fc7d0bd4269db01281c2a12,5fc7d0a46ebcc6012746a096,5fc7d0a4aa60b8012f892ace
sub-07,5fc7d0c24269db011f1caff9,5fc7d0a74269db01281c29df,5fc7d0aaaa60b8012f892ae6
sub-09,5fc7d0ca6ebcc6012846a1aa,5fc7d0b3aa60b8011a89697d,5fc7d0b64269db01281c29fd
sub-11,5fc7d0ce6ebcc6012846a1bc,5fc7d0b9aa60b8012f892b30,5fc7d0bb6ebcc6012746a0e0
sub-12,5fc7d0d1aa60b8012f892bd1,5fc7d0be4269db01291c2a5e,5fc7d0c0aa60b8012e892ae0
sub-13,5fc7d0d24269db011e1c8f6b,5fc7d0c46ebcc6012746a0f9,5fc7d0c5aa60b8012e892af3
sub-14,5fc7d0d5aa60b8012f892be9,5fc7d0c8aa60b8012f892b8b,5fc7d0cbaa60b8012e892b03
